prénom,nom,nom_complet,genre,année_naissance,municipalité,région,lieu
Denise,Trudel,Denise Trudel,f,1955,Alma,Saguenay–Lac-Saint-Jean,Québec
Luc,Trudel,Luc Trudel,m,1970,Shawinigan,Mauricie,Québec
Rémy,Trudel,Rémy Trudel,m,1948,Sainte-Thècle,Mauricie,Québec
Dave,Turcotte,Dave Turcotte,m,1983,Longueuil,Montérégie,Québec
Daniel,Turp,Daniel Turp,m,1955,Verdun,Montréal,Québec
Stéphanie,Vallée,Stéphanie Vallée,f,1971,Sherbrooke,Estrie,Québec
Karine,Vallières,Karine Vallières,f,1978,Danville,Estrie,Québec
Yvon,Vallières,Yvon Vallières,m,1949,Danville,Estrie,Québec
Jonathan,Valois,Jonathan Valois,m,1971,Sorel,Montérégie,Québec
Cécile,Vermette,Cécile Vermette,f,1945,Montréal,Montréal,Québec
Dominique,Vien,Dominique Vien,f,1967,Lévis,Chaudière-Appalaches,Québec
André,Villeneuve,André Villeneuve,m,1961,Lavaltrie,Lanaudière,Québec
Alexis,Wawanoloath,Alexis Wawanoloath,m,1982,Val-d'Or,Abitibi-Témiscamingue,Québec
Kathleen,Weil,Kathleen Weil,f,1954,Montréal,Montréal,Québec
David,Whissell,David Whissell,m,1967,Montréal,Montréal,Québec
Russell,Williams,Russell Williams,m,1953,London,,Ontario
Alejandra,Zaga Mendez,Alejandra Zaga Mendez,f,1988,,,Pérou
Élaine,Zakaïb,Élaine Zakaïb,f,1959,Sorel,Montérégie,Québec
Sol,Zanetti,Sol Zanetti,m,1982,Québec,Capitale-Nationale,Québec
